customer_id,company_name,plan,monthly_value_gbp,months_as_customer,promised_response_hours,has_complained_before
CUST-0001,North Labs,Basic,51,15,24,True
CUST-0002,Red Harbour,Free,0,3,72,True
CUST-0003,Red Retail,Free,0,36,72,True
CUST-0004,Red Group,Basic,48,29,24,False
CUST-0005,North Field,Pro,1065,22,8,False
CUST-0006,Bright Harbour,Free,0,25,72,True
CUST-0007,Oak Labs,Pro,288,47,8,False
CUST-0008,Stone Harbour,Free,0,54,72,False
CUST-0009,Bright Retail,Pro,593,46,8,True
CUST-0010,Green Harbour,Basic,49,56,24,True
CUST-0011,Bright Field,Free,0,23,72,True
CUST-0012,Blue Retail,Free,0,35,72,False
CUST-0013,Stone Labs,Free,0,44,72,False
CUST-0014,North Works,Pro,265,52,8,False
CUST-0015,Silver Retail,Free,0,14,72,False
CUST-0016,Clear Field,Free,0,9,72,True
CUST-0017,Green Retail,Basic,74,58,24,False
CUST-0018,Iron Digital,Free,0,6,72,False
CUST-0019,Iron Field,Pro,1064,39,8,True
CUST-0020,Clear Digital,Free,0,36,72,False
CUST-0021,Blue Digital,Free,0,50,72,False
CUST-0022,Stone Field,Free,0,1,72,False
CUST-0023,Green Digital,Pro,565,33,8,False
CUST-0024,Green Digital,Pro,1447,13,8,True
CUST-0025,Red Digital,Pro,201,39,8,False
CUST-0026,Bright Labs,Free,0,4,72,True
CUST-0027,Blue Harbour,Basic,113,32,24,False
CUST-0028,Red Field,Enterprise,11414,43,2,False
CUST-0029,Green Digital,Basic,97,28,24,False
CUST-0030,Silver Labs,Pro,1017,43,8,False
CUST-0031,Red Partners,Free,0,16,72,True
CUST-0032,Oak Digital,Free,0,38,72,True
CUST-0033,North Works,Free,0,58,72,True
CUST-0034,Red Works,Free,0,43,72,False
CUST-0035,Oak Retail,Basic,80,16,24,False
CUST-0036,Silver Harbour,Pro,398,43,8,False
CUST-0037,Clear Bridge,Free,0,4,72,False
CUST-0038,Blue Works,Free,0,13,72,False
CUST-0039,Iron Labs,Free,0,16,72,False
CUST-0040,Red Harbour,Free,0,42,72,False
CUST-0041,Blue Works,Pro,540,27,8,False
CUST-0042,Stone Bridge,Free,0,25,72,True
CUST-0043,Clear Labs,Free,0,45,72,False
CUST-0044,Red Partners,Enterprise,13144,13,2,False
CUST-0045,Oak Digital,Enterprise,6994,48,2,False
CUST-0046,Clear Digital,Free,0,4,72,False
CUST-0047,Iron Harbour,Free,0,44,72,False
CUST-0048,Oak Works,Free,0,40,72,True
CUST-0049,Oak Digital,Basic,60,60,24,False
CUST-0050,Bright Works,Basic,53,26,24,True
CUST-0051,Clear Systems,Basic,116,60,24,True
CUST-0052,Oak Harbour,Basic,29,35,24,True
CUST-0053,Bright Harbour,Free,0,24,72,False
CUST-0054,Red Labs,Free,0,43,72,False
CUST-0055,Blue Field,Free,0,8,72,False
