ticket_id,customer_id,promised_response_hours,first_reply_hours,hours_left_before_promise_broken,promise_was_broken
TICK-00001,CUST-0053,72,11.5,60.5,False
TICK-00002,CUST-0061,72,14.5,57.5,False
TICK-00003,CUST-0169,24,1.6,22.4,False
TICK-00004,CUST-0183,8,6.0,2.0,False
TICK-00005,CUST-0110,72,38.1,33.9,False
TICK-00006,CUST-0171,72,7.2,64.8,False
TICK-00007,CUST-0058,8,2.1,5.9,False
TICK-00008,CUST-0047,72,46.8,25.2,False
TICK-00009,CUST-0194,72,44.0,28.0,False
TICK-00010,CUST-0057,72,45.7,26.3,False
TICK-00011,CUST-0011,72,205.5,-133.5,True
TICK-00012,CUST-0063,72,50.3,21.7,False
TICK-00013,CUST-0038,72,63.9,8.1,False
TICK-00014,CUST-0039,72,88.6,-16.6,True
TICK-00015,CUST-0119,72,90.2,-18.2,True
TICK-00016,CUST-0113,24,15.7,8.3,False
TICK-00017,CUST-0037,72,216.7,-144.7,True
TICK-00018,CUST-0093,72,22.0,50.0,False
TICK-00019,CUST-0047,72,15.7,56.3,False
TICK-00020,CUST-0174,24,27.8,-3.8,True
TICK-00021,CUST-0027,24,91.0,-67.0,True
TICK-00022,CUST-0061,72,30.5,41.5,False
TICK-00023,CUST-0056,24,2.6,21.4,False
TICK-00024,CUST-0132,72,64.0,8.0,False
TICK-00025,CUST-0163,8,4.7,3.3,False
TICK-00026,CUST-0047,72,189.3,-117.3,True
TICK-00027,CUST-0074,8,20.5,-12.5,True
TICK-00028,CUST-0155,72,22.9,49.1,False
TICK-00029,CUST-0158,8,11.4,-3.4,True
TICK-00030,CUST-0200,2,0.8,1.2,False
TICK-00031,CUST-0189,72,46.3,25.7,False
TICK-00032,CUST-0082,8,13.7,-5.7,True
TICK-00033,CUST-0095,72,20.7,51.3,False
TICK-00034,CUST-0089,24,40.2,-16.2,True
TICK-00035,CUST-0163,8,5.2,2.8,False
TICK-00036,CUST-0008,72,52.2,19.8,False
TICK-00037,CUST-0016,72,20.8,51.2,False
TICK-00038,CUST-0037,72,20.1,51.9,False
TICK-00039,CUST-0118,24,5.9,18.1,False
TICK-00040,CUST-0103,72,235.1,-163.1,True
TICK-00041,CUST-0011,72,19.5,52.5,False
TICK-00042,CUST-0126,72,46.8,25.2,False
TICK-00043,CUST-0159,24,9.0,15.0,False
TICK-00044,CUST-0016,72,43.9,28.1,False
TICK-00045,CUST-0064,8,4.2,3.8,False
TICK-00046,CUST-0089,24,43.5,-19.5,True
TICK-00047,CUST-0151,24,35.4,-11.4,True
TICK-00048,CUST-0074,8,12.5,-4.5,True
TICK-00049,CUST-0146,2,1.4,0.6,False
TICK-00050,CUST-0087,24,58.4,-34.4,True
TICK-00051,CUST-0115,2,0.8,1.2,False
TICK-00052,CUST-0076,72,38.7,33.3,False
TICK-00053,CUST-0093,72,31.8,40.2,False
TICK-00054,CUST-0132,72,22.5,49.5,False
TICK-00055,CUST-0018,72,267.9,-195.9,True
TICK-00056,CUST-0139,24,8.3,15.7,False
TICK-00057,CUST-0071,72,56.5,15.5,False
TICK-00058,CUST-0060,24,3.3,20.7,False
TICK-00059,CUST-0143,2,3.9,-1.9,True
TICK-00060,CUST-0048,72,13.3,58.7,False
TICK-00061,CUST-0024,8,1.7,6.3,False
TICK-00062,CUST-0055,72,24.8,47.2,False
TICK-00063,CUST-0128,24,12.0,12.0,False
TICK-00064,CUST-0059,8,5.2,2.8,False
TICK-00065,CUST-0165,72,29.7,42.3,False
TICK-00066,CUST-0158,8,24.2,-16.2,True
TICK-00067,CUST-0039,72,55.0,17.0,False
TICK-00068,CUST-0142,72,3.2,68.8,False
TICK-00069,CUST-0140,72,35.1,36.9,False
TICK-00070,CUST-0177,24,7.8,16.2,False
TICK-00071,CUST-0170,72,6.1,65.9,False
TICK-00072,CUST-0027,24,9.1,14.9,False
TICK-00073,CUST-0063,72,61.2,10.8,False
TICK-00074,CUST-0028,2,1.2,0.8,False
TICK-00075,CUST-0102,72,36.6,35.4,False
TICK-00076,CUST-0187,2,1.5,0.5,False
TICK-00077,CUST-0150,24,21.2,2.8,False
TICK-00078,CUST-0111,8,1.3,6.7,False
TICK-00079,CUST-0022,72,19.6,52.4,False
TICK-00080,CUST-0028,2,1.3,0.7,False
TICK-00081,CUST-0051,24,18.7,5.3,False
TICK-00082,CUST-0151,24,15.0,9.0,False
TICK-00083,CUST-0099,72,23.4,48.6,False
TICK-00084,CUST-0099,72,18.0,54.0,False
TICK-00085,CUST-0191,24,14.2,9.8,False
TICK-00086,CUST-0116,24,82.6,-58.6,True
TICK-00087,CUST-0153,24,3.0,21.0,False
TICK-00088,CUST-0195,72,18.2,53.8,False
TICK-00089,CUST-0149,72,21.1,50.9,False
TICK-00090,CUST-0145,8,7.1,0.9,False
TICK-00091,CUST-0034,72,40.6,31.4,False
TICK-00092,CUST-0025,8,1.8,6.2,False
TICK-00093,CUST-0081,72,14.0,58.0,False
TICK-00094,CUST-0114,8,0.8,7.2,False
TICK-00095,CUST-0169,24,1.7,22.3,False
TICK-00096,CUST-0034,72,40.8,31.2,False
TICK-00097,CUST-0164,72,28.5,43.5,False
TICK-00098,CUST-0112,24,61.7,-37.7,True
TICK-00099,CUST-0200,2,1.0,1.0,False
TICK-00100,CUST-0095,72,24.9,47.1,False
TICK-00101,CUST-0010,24,1.3,22.7,False
TICK-00102,CUST-0103,72,24.0,48.0,False
TICK-00103,CUST-0188,72,229.1,-157.1,True
TICK-00104,CUST-0108,24,11.0,13.0,False
TICK-00105,CUST-0112,24,33.8,-9.8,True
TICK-00106,CUST-0120,24,18.1,5.9,False
TICK-00107,CUST-0092,24,1.5,22.5,False
TICK-00108,CUST-0096,72,61.1,10.9,False
TICK-00109,CUST-0186,72,57.2,14.8,False
TICK-00110,CUST-0036,8,2.1,5.9,False
TICK-00111,CUST-0200,2,1.7,0.3,False
TICK-00112,CUST-0045,2,0.5,1.5,False
TICK-00113,CUST-0057,72,257.9,-185.9,True
TICK-00114,CUST-0102,72,120.2,-48.2,True
TICK-00115,CUST-0076,72,6.9,65.1,False
TICK-00116,CUST-0061,72,51.0,21.0,False
TICK-00117,CUST-0108,24,1.8,22.2,False
TICK-00118,CUST-0027,24,2.4,21.6,False
TICK-00119,CUST-0142,72,0.4,71.6,False
TICK-00120,CUST-0154,72,25.2,46.8,False
TICK-00121,CUST-0115,2,1.5,0.5,False
TICK-00122,CUST-0122,72,63.8,8.2,False
TICK-00123,CUST-0109,24,7.2,16.8,False
TICK-00124,CUST-0004,24,87.4,-63.4,True
TICK-00125,CUST-0147,72,30.9,41.1,False
TICK-00126,CUST-0078,24,4.7,19.3,False
TICK-00127,CUST-0096,72,125.9,-53.9,True
TICK-00128,CUST-0051,24,7.6,16.4,False
TICK-00129,CUST-0073,24,3.0,21.0,False
TICK-00130,CUST-0065,72,157.8,-85.8,True
TICK-00131,CUST-0096,72,33.6,38.4,False
TICK-00132,CUST-0154,72,46.3,25.7,False
TICK-00133,CUST-0130,24,5.0,19.0,False
TICK-00134,CUST-0085,24,9.0,15.0,False
TICK-00135,CUST-0105,24,4.7,19.3,False
