ticket_id,service_name,affected_users,error_rate_percent,system_load_percent,work_is_blocked,observed_severity
TICK-00001,billing-api,161,18.0,89,False,High
TICK-00002,notify-service,4,2.9,33,False,Low
TICK-00003,auth-service,4,3.5,61,False,Low
TICK-00004,web-app,4716,24.4,49,True,Critical
TICK-00005,export-worker,7,72.0,36,True,High
TICK-00006,billing-api,1,4.1,81,False,Low
TICK-00007,sync-engine,1,7.4,54,False,Low
TICK-00008,export-worker,1,3.4,40,False,Low
TICK-00009,export-worker,19,51.1,75,False,Medium
TICK-00010,billing-api,2,6.0,36,False,Low
TICK-00011,export-worker,3,0.2,41,False,Low
TICK-00012,notify-service,2,5.1,85,False,Low
TICK-00013,web-app,4,6.1,92,False,Low
TICK-00014,auth-service,1,3.6,67,False,Low
TICK-00015,auth-service,34,10.6,63,False,Medium
TICK-00016,sync-engine,23,13.5,69,False,Medium
TICK-00017,sync-engine,1,4.5,62,False,Low
TICK-00018,notify-service,1,4.1,87,False,Low
TICK-00019,sync-engine,1,4.9,77,False,Low
TICK-00020,notify-service,1,6.5,37,False,Low
TICK-00021,billing-api,4,0.7,77,False,Low
TICK-00022,web-app,2,7.3,37,False,Low
TICK-00023,web-app,1,0.4,99,False,Low
TICK-00024,notify-service,7,37.5,89,False,Medium
TICK-00025,export-worker,2,1.1,89,False,Low
TICK-00026,notify-service,1,7.5,70,False,Low
TICK-00027,web-app,1,4.0,67,False,Low
TICK-00028,web-app,1,4.8,41,False,Low
TICK-00029,sync-engine,1,4.1,40,False,Low
TICK-00030,notify-service,4,6.1,37,False,Low
TICK-00031,auth-service,33,17.2,77,True,High
TICK-00032,auth-service,25,50.8,45,False,Medium
TICK-00033,notify-service,289,41.8,29,False,High
TICK-00034,billing-api,1217,32.4,61,True,Critical
TICK-00035,billing-api,1,7.5,41,False,Low
TICK-00036,sync-engine,4279,54.1,58,False,Critical
TICK-00037,export-worker,24,16.8,85,False,Medium
TICK-00038,notify-service,14,49.8,79,True,High
TICK-00039,auth-service,1,4.3,75,False,Low
TICK-00040,export-worker,1,3.2,91,False,Low
TICK-00041,web-app,3,2.5,98,False,Low
TICK-00042,export-worker,1,4.8,94,False,Low
TICK-00043,billing-api,1,2.5,72,False,Low
TICK-00044,notify-service,2,3.7,63,False,Low
TICK-00045,sync-engine,3,55.4,55,True,High
TICK-00046,billing-api,1,6.0,45,False,Low
TICK-00047,auth-service,4,74.4,90,True,High
TICK-00048,auth-service,109,80.4,70,True,Critical
TICK-00049,billing-api,10,47.1,34,False,Medium
TICK-00050,auth-service,1,3.2,43,False,Low
TICK-00051,auth-service,1,0.5,79,False,Low
TICK-00052,billing-api,3,6.4,51,False,Low
TICK-00053,auth-service,104,51.8,46,True,Critical
TICK-00054,notify-service,18,72.1,29,False,Medium
TICK-00055,web-app,1,7.9,77,False,Low
TICK-00056,web-app,228,93.1,89,True,Critical
TICK-00057,web-app,125,58.5,96,True,Critical
TICK-00058,export-worker,315,65.5,50,False,High
TICK-00059,sync-engine,1,7.5,68,False,Low
TICK-00060,billing-api,1,4.5,69,False,Low
TICK-00061,sync-engine,1741,57.9,91,False,Critical
TICK-00062,notify-service,1,7.3,61,False,Low
TICK-00063,sync-engine,28,82.8,38,True,High
TICK-00064,sync-engine,2,3.7,65,False,Low
TICK-00065,billing-api,1,0.5,21,False,Low
TICK-00066,auth-service,1,7.8,84,False,Low
TICK-00067,billing-api,31,94.1,58,False,Medium
TICK-00068,sync-engine,35,25.7,92,False,Medium
TICK-00069,notify-service,6,55.8,69,True,High
TICK-00070,export-worker,3,0.2,77,False,Low
TICK-00071,web-app,3,1.2,60,False,Low
TICK-00072,export-worker,24,58.7,69,True,High
TICK-00073,web-app,12,42.9,29,False,Medium
TICK-00074,notify-service,4,6.9,37,False,Low
TICK-00075,web-app,1,6.5,66,False,Low
TICK-00076,sync-engine,10,26.8,39,False,Medium
TICK-00077,billing-api,3,5.3,98,False,Low
TICK-00078,sync-engine,30,46.7,95,True,High
TICK-00079,sync-engine,3053,44.4,77,True,Critical
TICK-00080,web-app,4,1.9,43,False,Low
TICK-00081,web-app,5,2.6,34,False,Low
TICK-00082,export-worker,364,15.6,34,True,Critical
TICK-00083,web-app,3,2.5,99,False,Low
TICK-00084,auth-service,1,0.7,48,False,Low
TICK-00085,web-app,1,4.4,33,False,Low
TICK-00086,notify-service,383,43.5,37,True,Critical
TICK-00087,sync-engine,230,94.3,36,False,High
TICK-00088,auth-service,1,5.1,71,False,Low
TICK-00089,web-app,718,40.8,47,True,Critical
TICK-00090,billing-api,1,1.0,76,False,Low
TICK-00091,sync-engine,1,3.0,41,False,Low
TICK-00092,web-app,3014,93.9,36,False,Critical
TICK-00093,billing-api,1,4.9,76,False,Low
TICK-00094,billing-api,1,2.5,51,False,Low
TICK-00095,billing-api,1,3.1,83,False,Low
TICK-00096,auth-service,2,1.7,70,False,Low
TICK-00097,sync-engine,220,73.7,28,False,High
TICK-00098,billing-api,26,68.1,83,True,High
TICK-00099,notify-service,1,2.1,29,False,Low
TICK-00100,billing-api,21,82.7,25,True,High
TICK-00101,auth-service,2422,56.4,84,False,Critical
TICK-00102,export-worker,24,31.2,99,True,High
TICK-00103,auth-service,1,7.6,68,False,Low
TICK-00104,sync-engine,4,3.0,30,False,Low
TICK-00105,billing-api,3,3.6,29,False,Low
TICK-00106,export-worker,9,77.7,97,True,High
TICK-00107,auth-service,1,0.8,37,False,Low
TICK-00108,auth-service,30,77.8,62,False,Medium
TICK-00109,sync-engine,3,4.9,57,True,Low
TICK-00110,notify-service,32,48.6,84,False,Medium
TICK-00111,sync-engine,356,53.0,27,True,Critical
TICK-00112,billing-api,38,55.7,83,False,Medium
TICK-00113,billing-api,1,4.7,34,False,Low
TICK-00114,sync-engine,3,7.7,98,False,Low
TICK-00115,notify-service,328,77.8,48,True,Critical
TICK-00116,sync-engine,248,23.9,28,True,Critical
TICK-00117,sync-engine,1,5.2,48,False,Low
TICK-00118,notify-service,3,63.8,75,True,High
TICK-00119,web-app,38,54.5,39,False,Medium
TICK-00120,export-worker,4,7.2,31,False,Low
TICK-00121,notify-service,3,3.3,49,False,Low
TICK-00122,auth-service,38,60.8,77,False,Medium
TICK-00123,web-app,392,11.0,91,False,High
TICK-00124,auth-service,1,4.5,56,False,Low
TICK-00125,sync-engine,1,7.0,50,False,Low
TICK-00126,sync-engine,2828,42.5,31,True,Critical
TICK-00127,billing-api,1,0.2,45,False,Low
TICK-00128,web-app,210,45.1,95,True,Critical
TICK-00129,auth-service,15,41.9,21,True,High
TICK-00130,sync-engine,31,47.0,86,False,Medium
TICK-00131,sync-engine,347,29.9,58,True,Critical
TICK-00132,notify-service,3,5.7,44,False,Low
TICK-00133,billing-api,3,55.3,62,True,High
TICK-00134,sync-engine,3,1.0,68,False,Low
TICK-00135,auth-service,1,2.5,20,False,Low
TICK-00136,sync-engine,1,4.3,67,False,Low
TICK-00137,export-worker,6,31.8,78,False,Medium
TICK-00138,notify-service,1274,7.0,41,True,Critical
TICK-00139,export-worker,28,16.1,80,False,Medium
TICK-00140,billing-api,20,14.6,97,False,Medium
TICK-00141,notify-service,363,14.9,83,True,Critical
TICK-00142,export-worker,3,6.4,74,False,Low
TICK-00143,web-app,13,41.0,54,True,High
TICK-00144,web-app,311,21.3,65,True,Critical
TICK-00145,notify-service,3,5.5,32,False,Low
TICK-00146,web-app,273,11.7,61,False,High
TICK-00147,auth-service,2,6.0,33,False,Low
TICK-00148,notify-service,16,34.9,96,False,Medium
TICK-00149,sync-engine,575,49.3,72,False,Critical
TICK-00150,notify-service,30,58.0,37,False,Medium
TICK-00151,export-worker,26,59.6,84,False,Medium
TICK-00152,notify-service,5,1.6,57,False,Low
TICK-00153,auth-service,36,81.3,86,False,Medium
TICK-00154,auth-service,1,6.5,98,False,Low
TICK-00155,sync-engine,22,9.8,52,False,Medium
TICK-00156,sync-engine,4,1.4,29,False,Low
TICK-00157,sync-engine,3,74.6,98,True,High
TICK-00158,sync-engine,1,84.5,62,True,High
TICK-00159,notify-service,1,3.1,56,False,Low
TICK-00160,billing-api,3,5.0,74,False,Low
TICK-00161,export-worker,5,6.6,72,False,Low
TICK-00162,sync-engine,203,14.6,58,False,High
TICK-00163,sync-engine,21,87.3,67,False,Medium
TICK-00164,billing-api,3,1.1,48,False,Low
TICK-00165,sync-engine,1,0.8,94,False,Low
TICK-00166,web-app,38,77.7,41,False,Medium
TICK-00167,billing-api,1,4.4,97,False,Low
TICK-00168,auth-service,1,1.7,90,False,Low
TICK-00169,notify-service,206,64.6,41,False,High
TICK-00170,billing-api,1,2.1,25,False,Low
TICK-00171,sync-engine,4940,20.6,68,True,Critical
TICK-00172,sync-engine,4,0.6,55,False,Low
TICK-00173,auth-service,351,7.0,36,False,High
TICK-00174,web-app,1,59.6,81,True,High
TICK-00175,auth-service,2,1.1,45,False,Low
TICK-00176,auth-service,10,53.5,75,False,Medium
TICK-00177,billing-api,1,2.0,30,False,Low
TICK-00178,web-app,1,0.9,94,False,Low
TICK-00179,sync-engine,3,2.8,70,False,Low
TICK-00180,sync-engine,1,3.1,20,False,Low
TICK-00181,billing-api,20,58.8,83,True,High
TICK-00182,web-app,3,2.8,71,False,Low
TICK-00183,notify-service,1,7.4,20,False,Low
TICK-00184,billing-api,1,4.5,63,False,Low
TICK-00185,auth-service,28,51.5,53,False,Medium
TICK-00186,billing-api,17,83.5,49,True,High
TICK-00187,notify-service,5,2.5,55,False,Low
TICK-00188,export-worker,3,4.1,21,False,Low
TICK-00189,export-worker,29,68.1,66,True,High
TICK-00190,web-app,2,0.1,83,False,Low
TICK-00191,export-worker,1,6.0,66,False,Low
TICK-00192,notify-service,1,2.6,82,False,Low
TICK-00193,export-worker,1,0.6,49,False,Low
TICK-00194,billing-api,1,1.0,52,False,Low
TICK-00195,web-app,3,7.5,59,False,Low
TICK-00196,billing-api,1306,67.8,95,False,Critical
TICK-00197,notify-service,1,0.1,37,False,Low
TICK-00198,billing-api,4,3.5,40,False,Low
TICK-00199,billing-api,231,11.2,57,True,Critical
TICK-00200,web-app,2,18.6,47,True,High
TICK-00201,web-app,1774,27.5,21,False,Critical
TICK-00202,export-worker,1,5.5,61,False,Low
TICK-00203,web-app,2,4.7,51,False,Low
TICK-00204,billing-api,11,76.2,82,True,High
TICK-00205,notify-service,1,4.5,64,False,Low
TICK-00206,export-worker,1,5.0,99,False,Low
TICK-00207,auth-service,42,16.7,45,False,Medium
TICK-00208,auth-service,15,88.6,79,False,Medium
TICK-00209,notify-service,1,5.8,69,False,Low
TICK-00210,billing-api,1,1.3,90,False,Low
TICK-00211,notify-service,1,1.9,47,False,Low
TICK-00212,sync-engine,129,7.0,55,False,High
TICK-00213,sync-engine,38,71.1,61,False,Medium
TICK-00214,billing-api,1,7.0,97,False,Low
TICK-00215,web-app,40,13.1,57,False,Medium
TICK-00216,notify-service,37,40.6,45,True,High
TICK-00217,export-worker,2827,64.0,41,True,Critical
TICK-00218,auth-service,11,78.8,63,False,Medium
TICK-00219,notify-service,3,86.5,25,True,High
TICK-00220,web-app,29,84.5,49,False,Medium
TICK-00221,auth-service,3,6.0,64,False,Low
TICK-00222,billing-api,2,40.4,31,True,High
TICK-00223,sync-engine,1,2.5,87,False,Low
TICK-00224,sync-engine,231,32.3,55,False,High
TICK-00225,notify-service,7,47.9,97,False,Medium
TICK-00226,web-app,15,88.4,98,True,High
TICK-00227,web-app,1,4.2,78,False,Low
TICK-00228,billing-api,175,30.7,74,True,Critical
TICK-00229,auth-service,4,2.6,42,False,Low
TICK-00230,sync-engine,25,12.7,69,False,Medium
TICK-00231,web-app,28,70.7,56,True,High
TICK-00232,web-app,39,45.8,30,True,High
TICK-00233,billing-api,1,0.9,40,False,Low
TICK-00234,auth-service,1,3.8,55,False,Low
TICK-00235,notify-service,3698,33.5,93,False,Critical
TICK-00236,auth-service,1,61.3,46,True,High
TICK-00237,web-app,2,35.0,92,True,High
