ticket_id,priority_a_human_gave_it,hours_to_resolve,what_happened
TICK-00001,3,30.6,resolved
TICK-00002,4,205.1,escalated
TICK-00003,4,182.9,resolved
TICK-00004,1,4.6,resolved
TICK-00005,2,19.3,resolved
TICK-00006,4,72.8,resolved
TICK-00007,4,247.1,resolved
TICK-00008,4,238.8,resolved
TICK-00009,4,161.8,resolved
TICK-00010,4,63.6,escalated
TICK-00011,4,67.0,resolved
TICK-00012,4,205.1,resolved
TICK-00013,4,234.7,resolved
TICK-00014,4,180.8,resolved
TICK-00015,3,22.6,resolved
TICK-00016,4,120.0,resolved
TICK-00017,4,187.5,resolved
TICK-00018,3,70.8,resolved
TICK-00019,4,243.3,resolved
TICK-00020,3,94.7,resolved
TICK-00021,3,23.8,resolved
TICK-00022,4,243.7,resolved
TICK-00023,4,176.9,resolved
TICK-00024,4,132.3,resolved
TICK-00025,4,259.9,resolved
TICK-00026,3,22.4,resolved
TICK-00027,4,205.0,resolved
TICK-00028,4,205.0,escalated
TICK-00029,3,22.2,resolved
TICK-00030,3,40.8,resolved
TICK-00031,3,89.2,closed_no_action
TICK-00032,3,21.5,resolved
TICK-00033,3,58.1,resolved
TICK-00034,1,7.7,resolved
TICK-00035,4,230.0,resolved
TICK-00036,2,11.2,resolved
TICK-00037,4,74.5,resolved
TICK-00038,3,27.0,resolved
TICK-00039,4,213.0,resolved
TICK-00040,3,71.3,resolved
TICK-00041,4,157.6,resolved
TICK-00042,4,84.8,resolved
TICK-00043,4,236.5,resolved
TICK-00044,4,179.8,resolved
TICK-00045,2,24.1,resolved
TICK-00046,4,77.7,resolved
TICK-00047,1,5.0,resolved
TICK-00048,1,7.9,resolved
TICK-00049,2,20.3,resolved
TICK-00050,4,49.5,resolved
TICK-00051,3,78.8,resolved
TICK-00052,4,161.5,resolved
TICK-00053,1,7.4,resolved
TICK-00054,4,164.9,resolved
TICK-00055,4,65.3,closed_no_action
TICK-00056,1,3.4,resolved
TICK-00057,1,6.9,resolved
TICK-00058,3,54.9,resolved
TICK-00059,3,54.5,resolved
TICK-00060,4,247.2,resolved
TICK-00061,2,11.3,escalated
TICK-00062,4,114.6,resolved
TICK-00063,2,11.2,resolved
TICK-00064,4,87.8,escalated
TICK-00065,4,181.5,resolved
TICK-00066,3,28.4,resolved
TICK-00067,4,68.2,resolved
TICK-00068,4,195.8,resolved
TICK-00069,2,21.1,resolved
TICK-00070,4,141.3,resolved
TICK-00071,4,144.1,resolved
TICK-00072,2,20.5,resolved
TICK-00073,4,176.3,resolved
TICK-00074,3,60.6,resolved
TICK-00075,4,195.2,resolved
TICK-00076,2,14.5,resolved
TICK-00077,4,256.8,resolved
TICK-00078,2,15.2,resolved
TICK-00079,2,5.3,resolved
TICK-00080,2,5.4,resolved
TICK-00081,4,176.9,resolved
TICK-00082,1,4.6,resolved
TICK-00083,4,152.7,resolved
TICK-00084,4,84.3,resolved
TICK-00085,4,112.3,closed_no_action
TICK-00086,1,5.7,resolved
TICK-00087,3,80.7,resolved
TICK-00088,4,146.2,resolved
TICK-00089,1,4.0,resolved
TICK-00090,3,36.7,resolved
TICK-00091,4,140.7,resolved
TICK-00092,2,20.6,resolved
TICK-00093,4,246.7,resolved
TICK-00094,4,216.3,resolved
TICK-00095,4,261.2,escalated
TICK-00096,4,139.5,resolved
TICK-00097,3,24.2,resolved
TICK-00098,2,8.4,resolved
TICK-00099,3,62.4,resolved
TICK-00100,2,8.7,closed_no_action
TICK-00101,2,22.2,closed_no_action
TICK-00102,2,26.4,resolved
TICK-00103,4,92.3,closed_no_action
TICK-00104,4,64.2,resolved
TICK-00105,4,81.6,resolved
TICK-00106,2,8.0,resolved
TICK-00107,4,76.2,resolved
TICK-00108,4,84.3,resolved
TICK-00109,3,24.5,resolved
TICK-00110,4,116.9,resolved
TICK-00111,1,4.2,resolved
TICK-00112,2,6.7,resolved
TICK-00113,3,51.5,escalated
TICK-00114,4,129.7,resolved
TICK-00115,1,2.6,resolved
TICK-00116,1,1.9,resolved
TICK-00117,4,111.7,resolved
TICK-00118,2,25.8,resolved
TICK-00119,4,111.6,resolved
TICK-00120,4,239.3,resolved
TICK-00121,2,25.7,resolved
TICK-00122,4,222.6,resolved
TICK-00123,3,64.1,escalated
TICK-00124,3,42.0,resolved
TICK-00125,4,241.8,resolved
TICK-00126,1,6.9,resolved
TICK-00127,4,58.9,resolved
TICK-00128,1,7.0,resolved
TICK-00129,1,5.9,resolved
TICK-00130,4,49.6,closed_no_action
TICK-00131,1,8.1,resolved
TICK-00132,4,243.8,resolved
TICK-00133,2,20.9,resolved
TICK-00134,4,77.7,resolved
TICK-00135,4,172.5,resolved
TICK-00136,3,20.7,resolved
TICK-00137,4,141.7,resolved
TICK-00138,1,4.3,resolved
TICK-00139,4,113.0,resolved
TICK-00140,4,125.3,resolved
TICK-00141,1,6.8,resolved
TICK-00142,4,50.1,resolved
TICK-00143,1,7.4,resolved
TICK-00144,1,5.1,resolved
TICK-00145,4,122.7,resolved
TICK-00146,3,63.0,resolved
TICK-00147,4,226.4,resolved
TICK-00148,3,29.1,resolved
TICK-00149,2,7.4,escalated
TICK-00150,3,67.0,resolved
TICK-00151,3,42.8,closed_no_action
TICK-00152,4,260.0,resolved
TICK-00153,4,192.8,resolved
TICK-00154,4,208.4,resolved
TICK-00155,3,90.9,escalated
TICK-00156,4,129.5,resolved
TICK-00157,1,2.1,resolved
TICK-00158,2,26.3,resolved
TICK-00159,3,63.6,resolved
TICK-00160,3,75.1,escalated
TICK-00161,4,116.3,resolved
TICK-00162,3,52.2,resolved
TICK-00163,3,29.8,resolved
TICK-00164,4,87.2,resolved
TICK-00165,4,193.0,resolved
TICK-00166,4,201.8,resolved
TICK-00167,4,240.5,resolved
TICK-00168,4,189.2,resolved
TICK-00169,3,34.7,escalated
TICK-00170,4,131.8,escalated
TICK-00171,1,5.3,resolved
TICK-00172,4,178.0,resolved
TICK-00173,3,96.2,resolved
TICK-00174,2,22.0,resolved
TICK-00175,4,226.5,resolved
TICK-00176,4,198.7,resolved
TICK-00177,4,103.7,resolved
TICK-00178,4,170.0,resolved
TICK-00179,4,209.5,resolved
TICK-00180,3,99.2,resolved
TICK-00181,2,9.0,resolved
TICK-00182,4,246.5,resolved
TICK-00183,4,168.7,resolved
TICK-00184,3,96.7,escalated
TICK-00185,4,64.4,escalated
TICK-00186,2,8.2,resolved
TICK-00187,4,133.9,resolved
TICK-00188,4,118.3,resolved
TICK-00189,2,17.1,closed_no_action
TICK-00190,4,217.6,resolved
TICK-00191,4,122.3,resolved
TICK-00192,4,130.3,resolved
TICK-00193,4,178.8,resolved
TICK-00194,4,93.5,resolved
TICK-00195,3,73.3,resolved
TICK-00196,1,5.4,resolved
TICK-00197,4,196.6,resolved
TICK-00198,4,95.6,resolved
TICK-00199,1,3.6,resolved
TICK-00200,2,26.4,resolved
TICK-00201,2,13.1,closed_no_action
TICK-00202,4,102.7,resolved
TICK-00203,3,78.7,resolved
TICK-00204,2,22.2,resolved
TICK-00205,3,25.2,resolved
TICK-00206,4,89.0,resolved
TICK-00207,4,171.3,resolved
TICK-00208,2,22.6,resolved
TICK-00209,4,171.1,escalated
TICK-00210,2,16.3,resolved
TICK-00211,4,125.8,resolved
TICK-00212,2,6.8,resolved
TICK-00213,4,176.6,resolved
TICK-00214,3,23.9,resolved
TICK-00215,3,26.3,resolved
TICK-00216,2,10.0,resolved
TICK-00217,1,6.1,resolved
TICK-00218,3,59.9,resolved
TICK-00219,2,21.8,resolved
TICK-00220,3,97.3,resolved
TICK-00221,4,99.0,closed_no_action
TICK-00222,2,13.8,resolved
TICK-00223,4,189.7,resolved
TICK-00224,3,35.2,resolved
TICK-00225,3,92.8,resolved
TICK-00226,2,24.0,resolved
TICK-00227,2,16.0,resolved
TICK-00228,1,4.9,resolved
TICK-00229,3,95.5,resolved
TICK-00230,4,129.8,resolved
TICK-00231,2,25.5,resolved
TICK-00232,1,6.1,resolved
TICK-00233,4,256.7,resolved
TICK-00234,4,198.3,resolved
TICK-00235,1,6.0,resolved
TICK-00236,1,1.9,resolved
TICK-00237,2,9.0,resolved
TICK-00238,4,167.9,resolved
TICK-00239,4,234.8,resolved
TICK-00240,4,143.9,resolved
TICK-00241,3,80.9,resolved
TICK-00242,2,11.7,resolved
TICK-00243,3,68.8,resolved
TICK-00244,3,72.4,resolved
TICK-00245,4,234.0,resolved
TICK-00246,3,63.1,resolved
TICK-00247,3,37.2,resolved
TICK-00248,4,225.6,resolved
TICK-00249,2,16.3,resolved
TICK-00250,4,127.8,resolved
TICK-00251,1,3.0,resolved
TICK-00252,3,74.7,resolved
TICK-00253,4,201.8,resolved
TICK-00254,4,101.0,resolved
TICK-00255,4,138.9,closed_no_action
TICK-00256,1,5.1,resolved
TICK-00257,4,104.4,resolved
TICK-00258,4,59.7,resolved
TICK-00259,3,102.3,resolved
TICK-00260,1,6.9,resolved
TICK-00261,4,55.4,resolved
TICK-00262,4,241.5,resolved
TICK-00263,2,25.4,resolved
TICK-00264,1,1.9,resolved
TICK-00265,1,5.0,resolved
TICK-00266,2,12.7,escalated
TICK-00267,1,6.9,resolved
TICK-00268,1,4.5,resolved
TICK-00269,4,100.4,resolved
TICK-00270,2,22.3,closed_no_action
TICK-00271,4,100.6,resolved
TICK-00272,1,6.6,resolved
TICK-00273,2,26.1,closed_no_action
TICK-00274,4,59.7,resolved
TICK-00275,4,176.0,resolved
TICK-00276,3,31.7,escalated
TICK-00277,4,212.2,resolved
TICK-00278,4,205.7,resolved
TICK-00279,2,14.6,resolved
TICK-00280,2,25.9,resolved
TICK-00281,3,79.5,resolved
TICK-00282,4,188.0,resolved
TICK-00283,4,128.5,resolved
TICK-00284,4,71.6,resolved
TICK-00285,2,22.8,resolved
TICK-00286,4,257.7,resolved
TICK-00287,4,172.1,resolved
TICK-00288,3,101.1,escalated
TICK-00289,1,6.5,resolved
TICK-00290,4,258.8,resolved
